Method,Left_sampling,Right_sampling,Budget,n_realizations,Delta_mean,Delta_SD,Delta_q025,Delta_median,Delta_q975
Mean,P2-PAM,RSGS,3,504,-0.19304463066056454,0.14394547250406572,-0.48120435683608814,-0.1741381034773029,0.07413010806731452
Mean,P2-PAM,RSGS,6,504,-0.010317936730701206,0.0601501165106846,-0.12559604192524018,-0.004600872896302788,0.11415356078794983
Mean,P2-PAM,RSGS,9,504,-0.011830413881757294,0.020696012415982477,-0.050966226884641155,-0.012205561235002993,0.03703762241611819
Mean,P2-PAM,RSGS,12,504,-0.0053562840213049025,0.015938652550318406,-0.039378084062766675,-0.004150063861339259,0.025390691645001878
Mean,Random,RSGS,3,504,-0.12450898366850166,0.2001281421841332,-0.46388510617088274,-0.14316623683918484,0.35489938416948585
Mean,Random,RSGS,6,504,0.033028518891540896,0.09458623896622428,-0.10398814508628051,0.017538445831508986,0.24016777787105087
Mean,Random,RSGS,9,504,0.03452060448188524,0.06671340958711486,-0.03871373750922068,0.018742565557078983,0.19484291747393245
Mean,Random,RSGS,12,504,0.028387948018474222,0.05097600585650108,-0.029733091452269576,0.014217882705640894,0.15582889061580713
Mean,Random,P2-PAM,3,504,0.06494896005738339,0.1624459949308786,-0.16510535027126394,0.02663130760464877,0.4578952411871946
Mean,Random,P2-PAM,6,504,0.04276011228420693,0.0906265777042209,-0.10118746229546327,0.026597504233397407,0.2400318242456041
Mean,Random,P2-PAM,9,504,0.04583566281349574,0.06616485744363357,-0.03158894189082189,0.02951998839459724,0.20209586879142963
Mean,Random,P2-PAM,12,504,0.032894415302350516,0.050458845553528975,-0.026087095316350378,0.018679472047422818,0.1630112627342469
