Role,Sampling,Method,Budget,n_realizations,Primary_mean,Primary_SD,Primary_q025,Primary_median,Primary_q975,FN_RMSE_mean,FN_R2_mean,UN_RMSE_mean,UN_R2_mean
formal_updater,P2-PAM,TargetWeightedFullRF,12,504,0.8055626723236727,0.040511294081699685,0.7135633384672276,0.8107586066421512,0.8705492300547272,1.5525010054995525,0.7734648516489432,4.868629354954319,-0.24657258922620134
formal_updater,P2-PAM,CG-HPP,3,504,0.6525553711069432,0.04803105850861218,0.5900108824586071,0.6433980618159756,0.7631333341851086,1.5407390206525502,0.7660531179903478,3.5643533439718253,0.2985564983142129
formal_updater,P2-PAM,CG-HPP,6,504,0.5879504887893684,0.027041415717653085,0.5459373490541679,0.5842711613103093,0.6456765230348188,1.400542419463657,0.8088240844958381,3.1949280598871064,0.4526085442680902
formal_updater,P2-PAM,CG-HPP,9,504,0.5428537133115015,0.04664924091356837,0.450715400564079,0.5481106705833322,0.6296908590073902,1.3647152308750297,0.8222899935131973,2.853892046797195,0.5614782310521115
formal_updater,P2-PAM,CG-HPP,12,504,0.4883614910804001,0.03831004482756613,0.42101805563712824,0.48756149734633064,0.5679677435305586,1.2345150428440679,0.8565135221098309,2.5583111689020903,0.6516736547801381
formal_updater,P2-PAM,Mean,3,504,0.8590134762316759,0.06826407674139225,0.7887991950302441,0.8305076543058816,1.0161674576534667,1.7100727244166978,0.7105749405064548,5.11853238885484,-0.4385021389405327
formal_updater,P2-PAM,Mean,6,504,0.8280540093868355,0.03623295022234007,0.7880222580694354,0.81856104100689,0.9249030523908768,1.5549190333149867,0.7647387660748358,5.059427909384176,-0.3693944531248465
formal_updater,P2-PAM,Mean,9,504,0.8077926980172735,0.014715473342153848,0.7950859275165671,0.8026540887847274,0.8519792996213938,1.5273723000985997,0.7780889069910999,4.92155505762051,-0.2813950074625526
formal_updater,P2-PAM,Mean,12,504,0.80058747983214,0.010401797951716177,0.788602183959802,0.7979215523986177,0.8275640808424669,1.4947163096277358,0.7901620598644855,4.903170628342956,-0.2589984105733296
formal_updater,Random,Affine,3,504,0.8001054213978345,0.1562872638265816,0.5848245256681561,0.7717974623573535,1.1731103460680692,1.808346672709925,0.6621472516719608,4.478571313006944,-0.18749213839342835
formal_updater,Random,Affine,6,504,0.7160524370993757,0.13883643755858122,0.5743636591589798,0.6739155481617586,1.0979206228228444,1.777574520361259,0.6771308012343609,3.7946708578218873,0.147342697870932
formal_updater,Random,Affine,9,504,0.6639210170570135,0.091513570179217,0.5670241999301907,0.6389786148593003,0.9287095448356741,1.7081756967649508,0.7064958905618034,3.4379494862510542,0.33065715206381696
formal_updater,Random,Affine,12,504,0.6404283779687631,0.07644047733787004,0.558768222849574,0.6202570286409834,0.8428401116893139,1.6584937139953642,0.7226733057793661,3.3018725598909833,0.3876874215278042
formal_updater,Random,TargetWeightedFullRF,3,504,0.9166027002217901,0.043183608627050514,0.8083020825677941,0.9239854417165583,0.9859408874349449,1.6775516154306955,0.7232870614687371,5.658969831182187,-0.745011947017289
formal_updater,Random,TargetWeightedFullRF,6,504,0.8835132207927582,0.059191862313088,0.7592945489111094,0.8943920521919309,0.9737173274137483,1.666445144794877,0.7258222680276071,5.388385044103801,-0.5877177937500847
formal_updater,Random,TargetWeightedFullRF,9,504,0.8527421484343239,0.07191284146974332,0.7155801713804724,0.8644256883232919,0.9725345821703364,1.6489306127302306,0.7305050371116244,5.146392300807276,-0.45335035372696425
formal_updater,Random,TargetWeightedFullRF,12,504,0.8255002860817349,0.08185646123698086,0.6715156227946069,0.8276055248591087,0.9673437749349897,1.6317938742665783,0.7345519004740737,4.934340742865396,-0.3440238928388227
formal_updater,Random,CG-HPP,3,504,0.7841502726208849,0.13367837670855678,0.5821474003185736,0.7734854131109359,1.0926351438566404,1.701918151051632,0.7029113442670305,4.483594924733864,-0.1660787526406797
formal_updater,Random,CG-HPP,6,504,0.6880159325486321,0.12584125406319263,0.5279129316374335,0.6555503867124719,1.0149328082103535,1.6351296866220622,0.7255671517477695,3.743746732275338,0.1823039880723714
formal_updater,Random,CG-HPP,9,504,0.6214657937424755,0.0963541069717468,0.4743403428242715,0.6064241937815223,0.8529508148268654,1.547612658466605,0.7561368953326429,3.2869189401482553,0.3828639474893527
formal_updater,Random,CG-HPP,12,504,0.5781515061998108,0.08941334432840145,0.434771034909169,0.566609077067035,0.79098558713315,1.4664628058754874,0.7793681317200718,3.022018797134081,0.4792659998203813
formal_updater,Random,Mean,3,504,0.9268778355787982,0.14130744252362049,0.7912839774873264,0.8845317342015635,1.3263939699211662,1.7410023608743306,0.6844675400847725,5.662557203934979,-0.8185206275928018
formal_updater,Random,Mean,6,504,0.8663536193088361,0.0778848739370656,0.7829689160383237,0.84467819585841,1.0476823635105343,1.6324120871658494,0.7330300657232796,5.28596696006509,-0.5473581569670167
formal_updater,Random,Mean,9,504,0.8416581933933307,0.05833707669402347,0.7748666715879051,0.8280449581385998,0.9941115181986315,1.5771833783490616,0.7528213646720286,5.146948922470594,-0.45795198782288254
formal_updater,Random,Mean,12,504,0.8276118858885907,0.04646752197204811,0.7551388944363038,0.8200697751707224,0.9372934616770545,1.5432109361358572,0.7628613425955256,5.071308977706436,-0.4153627576981018
local_only_boundary,RSGS,TargetOnlyElasticNet,3,504,0.7390461822680092,0.10541184880642722,0.6169996427054435,0.7032000463265489,0.9381830944339729,2.1024791838386614,0.5552670824452343,3.557491041173125,0.22053193512497943
local_only_boundary,RSGS,TargetOnlyElasticNet,6,504,0.6283229606448605,0.11942024516432724,0.4699286157964953,0.5974752848252457,0.9364036302776526,1.72522913057595,0.7047441219625854,3.107972338734979,0.36993711623710324
local_only_boundary,RSGS,TargetOnlyElasticNet,9,504,0.5334004810015021,0.049200329350129184,0.44997073499003004,0.5277365940645724,0.6315683637996881,1.7059818485176597,0.7162622675611972,2.314847433821379,0.6915574050732305
local_only_boundary,RSGS,TargetOnlyElasticNet,12,504,0.6281633260050227,0.07474803192080154,0.5056204443538008,0.6250608702599614,0.7797057644771579,1.7814725328691203,0.6807652290832247,3.031197441760387,0.4418899145522647
local_only_boundary,RSGS,TargetOnlyRF,3,504,0.8719141729739334,0.07955109318241596,0.7437691122635604,0.8650804705069159,1.0382080870643657,2.7363940406175877,0.24910419298487912,3.853985187684554,0.096658288002959
local_only_boundary,RSGS,TargetOnlyRF,6,504,0.6316549741773023,0.05347452916230677,0.5524621785363887,0.6280605959318966,0.7429116781976347,2.132366996473404,0.5493535706130006,2.5909258064017755,0.5916295992766593
