source_specific_diet_id,ingredient_class,PC1,PC2,measured_source_specific_diets,budget_display_label,sampling_strategy,selected_or_selection_frequency,value_semantics,main_figure_role
Brown rice::RealV6_糙米_sample10,Brown rice,0.1887360288817009,-1.379389418420823,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample10,Brown rice,0.1887360288817009,-1.379389418420823,3,3 measured sources,Random sampling,0.03571428571428571,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample2,Brown rice,-0.747803194774878,-2.03770938615718,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample2,Brown rice,-0.747803194774878,-2.03770938615718,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample2,Brown rice,-0.747803194774878,-2.03770938615718,3,3 measured sources,Random sampling,0.02579365079365079,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample3,Brown rice,1.055609097952348,-1.051722420152651,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample3,Brown rice,1.055609097952348,-1.051722420152651,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample3,Brown rice,1.055609097952348,-1.051722420152651,3,3 measured sources,Random sampling,0.04166666666666666,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample4,Brown rice,0.0172091063093247,-1.486067749387112,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample4,Brown rice,0.0172091063093247,-1.486067749387112,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample4,Brown rice,0.0172091063093247,-1.486067749387112,3,3 measured sources,Random sampling,0.03968253968253968,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample5,Brown rice,-1.45274677410137,-2.315859257305906,3,3 measured sources,P2-PAM representative sampling (k-medoids),0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample5,Brown rice,-1.45274677410137,-2.315859257305906,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample5,Brown rice,-1.45274677410137,-2.315859257305906,3,3 measured sources,Random sampling,0.03373015873015873,selection frequency across 504 realizations,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample6,Brown rice,-0.3418417394656088,-1.729517984758093,3,3 measured sources,P2-PAM representative sampling (k-medoids),1.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
Brown rice::RealV6_糙米_sample6,Brown rice,-0.3418417394656088,-1.729517984758093,3,3 measured sources,Response-surface-guided sampling,0.0,binary selected/not selected under the fixed structured selector,Main Figure 4A four-budget small-multiple source; no single budget is privileged
