Domain,Observation_ID,Study_or_target_group,Grain,PC1,PC2,PC1_explained_variance,PC2_explained_variance
Historical 906,V44_f3dd28e34a77,Zangeronimo2007_RBZ,record,0.6991351953535204,1.175454513404694,0.3581851925549009,0.2292279722724193
Historical 906,V44_a918b75c4c14,Zangeronimo2007_RBZ,record,0.7230302141977825,1.129943682201129,0.3581851925549009,0.2292279722724193
Historical 906,V44_09a3cbf1f8bc,Hauschild2008_ABMVZ,record,-0.8099140834525463,-0.4096738949262097,0.3581851925549009,0.2292279722724193
Historical 906,V44_25fd5e1f99cc,Hauschild2008_ABMVZ,record,-0.6376099508956123,-0.7539132274325573,0.3581851925549009,0.2292279722724193
Historical 906,V44_bd5f016748e1,Hauschild2008_ABMVZ,record,-0.677528435527413,-0.9319012394515946,0.3581851925549009,0.2292279722724193
Historical 906,V44_b4e13c0ab937,Paiano2008_RBZ_ThrLysRatio,record,-1.095824007462954,1.619482625579423,0.3581851925549009,0.2292279722724193
Historical 906,V44_7a05270e8d47,Paiano2008_RBZ_ThrLysRatio,record,-1.096643568180855,1.624308882441854,0.3581851925549009,0.2292279722724193
Historical 906,V44_8bfd38b6ecbd,Paiano2008_RBZ_ThrLysRatio,record,-1.105961081987685,1.663065890261881,0.3581851925549009,0.2292279722724193
Historical 906,V44_dfada554bc48,Paiano2008_RBZ_ThrLysRatio,record,-1.094613969227833,1.610880670135406,0.3581851925549009,0.2292279722724193
Historical 906,V44_b76e49e29b49,Paiano2008_RBZ_ThrLysRatio,record,-1.12154522804493,1.729398917629041,0.3581851925549009,0.2292279722724193
Historical 906,V44_19158ad5007c,Qiao2008_AJAS_MetCysRatio,record,0.5350754781365737,0.977899498829186,0.3581851925549009,0.2292279722724193
Historical 906,V44_3f35e82e9c5e,Qiao2008_AJAS_MetCysRatio,record,0.7038904776979751,0.8455516137767582,0.3581851925549009,0.2292279722724193
Historical 906,V44_921033fd30a7,Qiao2008_AJAS_MetCysRatio,record,0.6537966469561478,0.8915473081438009,0.3581851925549009,0.2292279722724193
Historical 906,V44_d80151588345,Qiao2008_AJAS_MetCysRatio,record,0.5302835276544239,0.9941425447515593,0.3581851925549009,0.2292279722724193
Historical 906,V44_9f6d1040f56f,Qiao2008_AJAS_MetCysRatio,record,0.713601173665057,0.8407832942518216,0.3581851925549009,0.2292279722724193
Historical 906,V44_aed90b010b75,Qiao2008_AJAS_MetCysRatio,record,0.6863896429288467,0.859232965866695,0.3581851925549009,0.2292279722724193
Historical 906,V44_5614ccb8e880,Qiao2008_AJAS_MetCysRatio,record,0.551208366916438,0.9391724695412588,0.3581851925549009,0.2292279722724193
Historical 906,V44_1c18874c43af,Wu2008_AJAS,record,1.987678350385156,-0.4350916210887284,0.3581851925549009,0.2292279722724193
Historical 906,V44_d05eda305403,Wu2008_AJAS,record,1.885455121471031,-0.3943184039520036,0.3581851925549009,0.2292279722724193
Historical 906,V44_9282e44404fb,Wu2008_AJAS,record,2.004084132917216,-0.4808791773268818,0.3581851925549009,0.2292279722724193
Historical 906,V44_cb9c44329ad1,Wu2008_AJAS,record,1.917523112442253,-0.4030537121605076,0.3581851925549009,0.2292279722724193
Historical 906,V44_293eca236969,Wu2008_AJAS,record,1.916568569238627,-0.3982794003532152,0.3581851925549009,0.2292279722724193
Historical 906,V44_af38e41e9f9c,Liu2009_LivSci,record,-0.7030946440715026,-1.052769297589082,0.3581851925549009,0.2292279722724193
