Comparison group,Measurement-selection strategy,Updating method / boundary,Budget,Realizations,Mean-NRMSE,2.5th percentile,97.5th percentile,"FN RMSE, g/d",FN R²,"UN RMSE, g/d",UN R²
Formal updating hierarchy,Response-surface-guided sampling,Mean residual correction,3,504,1.040079271688566,0.8349709741907642,1.301996457364886,1.653432020529236,0.724528115101191,6.756576073773043,-1.788148213905206
Formal updating hierarchy,Response-surface-guided sampling,Mean residual correction,6,504,0.8199509166952038,0.7686042442891395,0.9208012909389782,1.543103379397257,0.7655630592635335,5.00535949561862,-0.5118514313091305
Formal updating hierarchy,Response-surface-guided sampling,Mean residual correction,9,504,0.8034045977487121,0.7817577501882634,0.8386643442083084,1.581380617435357,0.759371866687816,4.811296081234086,-0.3201339712039771
Formal updating hierarchy,Response-surface-guided sampling,Mean residual correction,12,504,0.8077461943249147,0.792202294701507,0.8382705968968205,1.512011125108826,0.7722965393730848,4.941746437848854,-0.4349214001751273
Target-only boundary,Response-surface-guided sampling,Target-only Elastic Net,3,504,0.7390461822680092,0.6169996427054435,0.9381830944339729,2.102479183838661,0.5552670824452343,3.557491041173125,0.2205319351249794
Target-only boundary,Response-surface-guided sampling,Target-only Elastic Net,6,504,0.6283229606448605,0.4699286157964953,0.9364036302776526,1.72522913057595,0.7047441219625854,3.107972338734979,0.3699371162371032
Target-only boundary,Response-surface-guided sampling,Target-only Elastic Net,9,504,0.5334004810015021,0.44997073499003,0.6315683637996881,1.70598184851766,0.7162622675611972,2.314847433821379,0.6915574050732305
Target-only boundary,Response-surface-guided sampling,Target-only Elastic Net,12,504,0.6281633260050227,0.5056204443538008,0.7797057644771579,1.78147253286912,0.6807652290832247,3.031197441760387,0.4418899145522647
Target-only boundary,Response-surface-guided sampling,Target-only Random Forest,3,504,0.8719141729739334,0.7437691122635604,1.038208087064366,2.736394040617588,0.2491041929848791,3.853985187684554,0.096658288002959
Target-only boundary,Response-surface-guided sampling,Target-only Random Forest,6,504,0.6316549741773023,0.5524621785363887,0.7429116781976347,2.132366996473404,0.5493535706130006,2.590925806401775,0.5916295992766593
Target-only boundary,Response-surface-guided sampling,Target-only Random Forest,9,504,0.6240809083835109,0.5513317814433111,0.7057345569783036,2.103092306493822,0.5692352786812842,2.56482637156357,0.623014148335061
Target-only boundary,Response-surface-guided sampling,Target-only Random Forest,12,504,0.6199650734709912,0.501187212234214,0.7640972540800004,1.972315568914117,0.605902393471539,2.704631841416005,0.5608279842799261
Target-only boundary,Response-surface-guided sampling,Target-only Ridge,3,504,0.62700155797508,0.5040760347253926,0.7846890151505577,1.491592410107072,0.775288141274513,3.409776301174771,0.2898327275234279
Target-only boundary,Response-surface-guided sampling,Target-only Ridge,6,504,0.616533361431476,0.4702508920599122,0.9130750437402071,1.721191041961539,0.7051998234079492,3.011672940421171,0.4158165361276215
Target-only boundary,Response-surface-guided sampling,Target-only Ridge,9,504,0.5391211548706402,0.4570140080853319,0.6444311981573517,1.740187243483128,0.7046553554094263,2.31834714703453,0.6907229186205801
Target-only boundary,Response-surface-guided sampling,Target-only Ridge,12,504,0.6271154584764607,0.5023148779535082,0.7804699449886037,1.781787033864969,0.680127315136074,3.021735540821231,0.4460554386234146
Matched no-update control,Response-surface-guided sampling,Historical model (no target-domain update),3,504,0.9314829037941326,0.9314829037941326,0.9314829037941326,1.794434721323193,0.6789090516640405,5.630657316709836,-0.8727325267586028
Matched no-update control,Response-surface-guided sampling,Historical model (no target-domain update),6,504,0.9347617550331426,0.9347617550331426,0.9347617550331426,1.817085733458102,0.6752839972342963,5.628579981258897,-0.900588349665826
Matched no-update control,Response-surface-guided sampling,Historical model (no target-domain update),9,504,0.9434264977992574,0.9434264977992574,0.9434264977992574,1.784033803551418,0.6944705982213262,5.747641638067264,-0.883101895192907
Matched no-update control,Response-surface-guided sampling,Historical model (no target-domain update),12,504,0.9551234793286354,0.9551234793286354,0.9551234793286354,1.751942541519151,0.6946889312414462,5.891575569815926,-1.039000229670751
