Architecture,Method,Budget,n_realizations,Primary_mean,Primary_SD,Primary_q025,Primary_median,Primary_q975,FN_RMSE_mean,FN_MAE_mean,FN_Bias_mean,FN_R2_mean,UN_RMSE_mean,UN_MAE_mean,UN_Bias_mean,UN_R2_mean,Rank_method_within_arch_budget,Rank_overall_arch_method_within_budget
MLR,TargetWeightedFullRF,21,504,0.6788679858006749,0.03548972617488027,0.6199599432693432,0.6752852479515152,0.7543928926241044,1.6284434604082907,1.0484264289157639,0.47227915629952055,0.7297506644854671,3.6737877157656165,2.6748562431585077,1.9252140168599414,0.25736202541756226,6.0,22.0
MLR+RF,Affine,3,504,0.6348752685060322,0.05324727439548308,0.5740760747251263,0.6233900145315436,0.7548259041504947,1.6407734772902671,1.1316571575340488,-0.07443719734350526,0.7298357636722128,3.277719129084808,2.469024698486286,-0.4573053015099211,0.3587209659755855,3.0,6.0
MLR+RF,Affine,6,504,0.6143146505894934,0.03932543701358114,0.5652392477369121,0.6083505526904023,0.6973905475637011,1.6255120635777687,1.1059149593488502,0.0428406189777224,0.7391530101400515,3.1207948499082687,2.342800559540849,0.018840338728015663,0.4117039884833687,2.0,8.0
MLR+RF,Affine,9,504,0.6217079347964778,0.04013698030274483,0.5771418628978028,0.6064705247017907,0.7067240404271973,1.6920450231459019,1.1581864607572179,-0.3911773660922136,0.7229530978265665,3.0953876630293813,2.272418838332551,0.25851876031009696,0.4522364196688117,4.0,12.0
MLR+RF,Affine,12,504,0.6171410640536534,0.03677371998970402,0.5644570910492099,0.6112216628321014,0.7110011801609549,1.5402314619300415,1.0796137803967931,-0.321552261841522,0.7636234617282593,3.259503032765862,2.430674019299323,0.07219477282237549,0.3703454246865914,2.0,16.0
MLR+RF,Affine,15,504,0.5832250215009657,0.014266185325852696,0.5656707419025527,0.5793644002299349,0.6169427554397424,1.4768906766224814,1.0188826035607066,-0.06725687151423662,0.7701561305764525,3.051810470333065,2.146744897319452,-0.48412250902300136,0.4765705167038022,5.0,16.0
MLR+RF,Affine,18,504,0.5545732123347366,0.010619996497098468,0.5418431549423937,0.5519606572257404,0.5836120627860872,1.497933040935263,0.9867572700341324,0.16835902552447246,0.7674326501354217,2.776413450715399,2.080569494849799,0.05452166786514393,0.5445630788069002,5.0,16.0
MLR+RF,Affine,21,504,0.5572194470868199,0.00855846323659984,0.5465708367600255,0.5553996602171374,0.5768079857711879,1.5190286176279475,1.0027442225503571,0.11517138852366131,0.7645285215444533,2.7709634825881198,2.0090953166807286,-0.15946068818547318,0.554990612506792,5.0,17.0
MLR+RF,CG-HPP,3,504,0.6266879536212611,0.05019673269918535,0.566904324210467,0.614959819305708,0.7339040900287004,1.6652183011268928,1.109707813326072,-0.03685344377558956,0.72164525053478,3.1743147430464624,2.3734624253753043,-0.5069681824080098,0.3989994912284386,1.0,1.0
MLR+RF,CG-HPP,6,504,0.5488954198963575,0.053027088881500754,0.46633703683444017,0.5499121366654343,0.6503771389476886,1.656524411866928,1.0751982489132428,0.06262806304969704,0.7286563830246008,2.5148279825385815,1.8577124025141336,1.3113894022673134e-05,0.612469936909513,1.0,1.0
MLR+RF,CG-HPP,9,504,0.5343905188064416,0.053862942361989005,0.44190672663934366,0.5267261111271884,0.642820186277186,1.5065081070420774,0.9561179071080735,-0.3994493322675524,0.7782159199768502,2.5907954073335886,1.8917244516369731,0.2307345093652226,0.6134795659955865,2.0,2.0
MLR+RF,CG-HPP,12,504,0.5189914829296485,0.051038839657915135,0.4284930989280857,0.5180545646266164,0.6217782445828729,1.2380481619388612,0.8227736219945638,-0.24302265684663543,0.8466857310758098,2.817829693216939,2.0847984706547167,-0.11964067597728392,0.5239476133006495,1.0,3.0
MLR+RF,CG-HPP,15,504,0.465349565252651,0.046572497435134814,0.391263185391362,0.458693544967557,0.5614238592737671,1.156637727735057,0.7911597851487092,-0.09700642875958879,0.8586331377754209,2.4641790575212625,1.747471142932687,-0.7916240778176443,0.6505502441180024,1.0,3.0
MLR+RF,CG-HPP,18,504,0.4135422385731333,0.024119087745081612,0.37408126644211087,0.41114230954932274,0.46557076745837406,1.179846062712583,0.8079641298868367,0.09604903111525098,0.8553389580616209,1.9861082563282169,1.4891590098663539,-0.10286691042618247,0.7647876006127191,1.0,1.0
MLR+RF,CG-HPP,21,504,0.4105338763987733,0.026224338202707774,0.3666184132998348,0.4094418248069245,0.4720166065736917,1.1689440328527894,0.7775459543366379,0.0720793281740056,0.8600850875626135,1.9747689685365006,1.4950051200314267,-0.03449580426056731,0.7716949884449906,1.0,1.0
MLR+RF,Mean,3,504,1.040079271688566,0.1284981627389717,0.8349709741907642,1.039189481832115,1.3019964573648857,1.6534320205292359,1.2628990802787812,-0.5292812675970319,0.724528115101191,6.756576073773043,5.94686458060239,-4.711043058317703,-1.788148213905206,8.0,30.0
MLR+RF,Mean,6,504,0.8199509166952038,0.04358265866134678,0.7686042442891395,0.8083685967025719,0.9208012909389782,1.5431033793972573,1.07705690239454,-0.08034029737661878,0.7655630592635335,5.00535949561862,4.269101635364867,-1.486202612770361,-0.5118514313091305,6.0,22.0
MLR+RF,Mean,9,504,0.8034045977487121,0.014589244608366955,0.7817577501882634,0.8018186989406964,0.8386643442083084,1.581380617435357,1.1649885013489572,-0.45856080647343,0.759371866687816,4.811296081234086,4.0223887334099775,-0.514802830418296,-0.32013397120397713,7.0,23.0
